Date,Open,High,Low,Close,Tick,Volume
2020.03.11 14:15,86355,86587,86289,86471,39884,116162
2020.03.11 14:20,86476,86840,86431,86734,41018,129833
2020.03.11 14:25,86734,87203,86663,87137,46029,140889
2020.03.11 14:30,87132,87223,86744,86784,44621,131573
2020.03.11 14:35,86784,86824,86461,86612,46328,138070
2020.03.11 14:40,86612,86698,86062,86082,47308,143491
2020.03.11 14:45,86077,86628,85966,86486,52336,156122
2020.03.11 14:50,86481,86486,85906,85956,47725,137747
2020.03.11 14:55,85956,86320,85941,86082,45511,133850
2020.03.11 15:00,86082,86421,85497,85522,54963,162363
2020.03.11 15:05,85517,85648,84532,84638,67028,196755
2020.03.11 15:10,84638,84820,83684,83709,48026,154332
2020.03.11 15:15,83699,83820,83649,83649,5801,31549
2020.03.11 15:20,83649,83649,83649,83649,292,1227
2020.03.11 15:25,83649,83649,83649,83649,148,507
2020.03.11 15:30,83649,83649,83649,83649,68,271
2020.03.11 15:35,83649,83649,83649,83649,57,226
2020.03.11 15:40,83649,83724,83649,83649,818,6842
2020.03.11 15:45,83649,83719,83649,83649,1313,12407
2020.03.11 15:50,83649,83992,83649,83649,2218,12077
2020.03.11 16:00,82851,83285,81967,82043,24972,59122
2020.03.11 16:05,82038,82164,81326,81513,18671,56798
2020.03.11 16:10,81513,81569,81326,81432,5534,25577
2020.03.11 16:15,81432,82366,81331,82215,30405,81791
2020.03.11 16:20,82215,82427,81634,81654,32198,95719
2020.03.11 16:25,81654,82154,81352,82033,23658,68799
2020.03.11 16:30,82033,83386,81907,83310,43547,115116
2020.03.11 16:35,83310,85628,83255,85628,22080,54938
2020.03.11 16:40,85527,85527,84886,84886,2250,8395
2020.03.11 16:45,84734,84871,84588,84669,5483,22204
2020.03.11 16:50,84669,85325,84295,85103,15562,41535
2020.03.11 16:55,85103,85633,84719,85547,22220,65964
2020.03.11 17:00,85552,85719,85088,85618,21995,60956
2020.03.11 17:05,85618,85880,85552,85618,19045,54902
2020.03.11 17:10,85623,86284,85618,85754,28401,60611
2020.03.11 17:15,85749,86092,84265,85320,21052,41068
2020.03.11 17:20,84285,84315,83618,83618,2939,8239
2020.03.11 17:25,83689,83926,83305,83926,1985,4812
2020.03.11 17:30,83810,84214,83068,83487,6682,19887
2020.03.11 17:35,83487,83563,82901,83098,6711,24819
2020.03.11 17:40,83114,83184,82094,82185,11862,26104
2020.03.11 17:45,82190,82296,81412,82225,10893,23769
2020.03.11 17:50,82235,82588,81331,81367,8969,27357
2020.03.12 09:00,77111,77111,77111,77111,463,2382
2020.03.12 09:05,77111,77111,77111,77111,221,1765
2020.03.12 09:10,77111,77111,77111,77111,109,571
2020.03.12 09:15,77111,77111,77111,77111,58,171
2020.03.12 09:20,77111,77111,77111,77111,35,143
2020.03.12 09:25,77111,77111,77111,77111,37,46
2020.03.12 09:30,77111,77111,77111,77111,29,84
2020.03.12 09:35,77111,77111,77111,77111,29,174
2020.03.12 09:40,77111,77111,77111,77111,26,100
2020.03.12 09:45,77111,77111,77111,77111,25,136
2020.03.12 09:50,77111,77111,77111,77111,15,20
2020.03.12 09:55,77111,77111,77111,77111,18,44
2020.03.12 10:00,77111,77111,77111,77111,23,115
2020.03.12 10:05,77111,77111,77111,77111,31,160
2020.03.12 10:10,77111,77111,77111,77111,56,113
2020.03.12 10:15,77111,77111,77111,77111,44,212
2020.03.12 10:20,77111,77111,77111,77111,38,168
2020.03.12 10:25,77111,77111,77111,77111,36,160
2020.03.12 10:30,77111,77111,77111,77111,25,61
2020.03.12 10:35,77111,77111,77111,77111,24,58
2020.03.12 10:40,77111,77111,77111,77111,31,83
2020.03.12 10:45,77111,77111,77111,77111,24,57
2020.03.12 10:50,77111,77111,77111,77111,26,62
2020.03.12 10:55,77111,77111,77111,77111,27,65
2020.03.12 11:00,77111,77111,77111,77111,26,84
2020.03.12 11:05,77111,77111,77111,77111,24,84
2020.03.12 11:10,77111,77111,77111,77111,22,74
2020.03.12 11:15,77111,77111,77111,77111,24,76
2020.03.12 11:20,77111,77111,77111,77111,25,70
2020.03.12 11:25,77111,77111,77111,77111,23,61
2020.03.12 11:30,77111,77111,77111,77111,24,60
2020.03.12 11:35,77111,77111,77111,77111,21,54
2020.03.12 11:40,77111,77111,77111,77111,22,60
2020.03.12 11:45,77111,77111,77111,77111,25,72
2020.03.12 11:50,77111,77111,77111,77111,23,58
2020.03.12 11:55,77111,77111,77111,77111,23,56
2020.03.12 12:00,77111,77111,77111,77111,22,56
2020.03.12 12:05,77111,77111,77111,77111,23,62
2020.03.12 12:10,77111,77111,77111,77111,21,54
2020.03.12 12:15,77111,77111,77111,77111,24,59
2020.03.12 12:20,77111,77111,77111,77111,19,62
2020.03.12 12:25,77111,77111,77111,77111,6,13
2020.03.12 12:30,77111,77111,77111,77111,5,64
2020.03.12 12:35,77111,77111,77111,77111,4,4
2020.03.12 12:40,77111,77111,77111,77111,2,11
2020.03.12 12:45,77111,77111,77111,77111,1,1
2020.03.12 12:50,77111,77111,77111,77111,2,21
2020.03.12 12:55,77111,77111,77111,77111,4,4
2020.03.12 13:00,77111,77111,77111,77111,2,2
2020.03.12 13:05,77111,77111,77111,77111,1,1
2020.03.12 13:10,77111,77111,77111,77111,2,3
2020.03.12 13:15,77111,77111,77111,77111,3,53
2020.03.12 13:20,77111,77111,77111,77111,3,3
2020.03.12 13:25,77111,77111,77111,77111,5,11
2020.03.12 13:30,77111,77111,77111,77111,2,2
2020.03.12 13:35,77111,77111,77111,77111,1,1
2020.03.12 13:40,77111,77111,77111,77111,4,4
2020.03.12 13:45,77111,77111,77111,77111,3,4
2020.03.12 13:50,77111,77111,77111,77111,2,211
2020.03.12 13:55,77111,77111,77111,77111,5,24
2020.03.12 14:00,77111,77111,77111,77111,11,76
2020.03.12 14:05,77111,77111,77111,77111,5,57
2020.03.12 14:15,72829,72829,72829,72829,361,3745
2020.03.12 14:20,72829,72950,72829,72925,1764,24565
2020.03.12 14:25,72900,72986,72829,72920,1870,14290
2020.03.12 14:30,72905,74207,72875,73501,5255,18324
2020.03.12 14:35,73501,73980,72935,72935,2745,9291
2020.03.12 14:40,73006,73314,72829,72829,1722,8598
2020.03.12 14:45,72829,73162,72829,72986,1628,5920
2020.03.12 14:50,72986,73400,72854,72910,3312,8845
2020.03.12 14:55,72890,73208,72829,73066,2302,7397
2020.03.12 15:00,73102,73506,72935,73506,7001,14551
2020.03.12 15:05,73506,74016,73369,73854,14143,24071
2020.03.12 15:10,73844,73955,73223,73440,10865,19301
2020.03.12 15:15,73460,73950,73218,73672,4778,12869
2020.03.12 15:20,73672,73824,73036,73223,4145,9200
2020.03.12 15:25,73152,73349,72885,72910,6501,11784
2020.03.12 15:30,72955,73001,72829,72834,4251,15165
2020.03.12 15:35,72839,72890,72829,72829,541,3193
2020.03.12 15:40,72829,72885,72829,72834,714,3971
2020.03.12 15:45,72834,73021,72829,72970,3310,9897
2020.03.12 15:50,72960,73314,72925,73097,5929,12631
2020.03.12 15:55,73082,73208,72869,72885,6784,11439
2020.03.12 16:00,72885,73041,72829,72910,3207,9191
2020.03.12 16:05,72925,73001,72829,72854,2836,9232
2020.03.12 16:10,72854,72900,72829,72839,2013,11434
2020.03.12 16:15,72839,72875,72829,72829,855,6759
2020.03.12 16:20,72829,72844,72829,72829,294,9943
2020.03.12 16:25,72829,72834,72829,72829,230,4436
2020.03.12 16:30,72829,72834,72829,72829,163,1801
2020.03.12 16:35,72829,72829,72829,72829,48,391
2020.03.12 16:40,72829,72829,72829,72829,38,922
2020.03.12 16:45,72829,72829,72829,72829,54,1384
2020.03.12 16:50,72829,72829,72829,72829,96,2424
2020.03.12 16:55,72829,72915,72829,72829,237,1556
2020.03.12 17:00,72829,72829,72829,72829,24,189
2020.03.12 17:05,72829,72829,72829,72829,36,2154
2020.03.12 17:10,72829,72829,72829,72829,17,492
2020.03.12 17:15,72829,72829,72829,72829,117,4123
2020.03.12 17:20,72829,72829,72829,72829,46,1517
2020.03.12 17:25,72829,72829,72829,72829,59,708
2020.03.12 17:30,72829,72829,72829,72829,29,5449
2020.03.12 17:35,72829,72829,72829,72829,16,26
2020.03.12 17:40,72829,72829,72829,72829,8,258
2020.03.12 17:45,72829,72829,72829,72829,27,108
2020.03.12 17:50,72829,72829,72829,72829,120,6111
2020.03.13 09:00,80074,80109,79822,80074,2229,17249
2020.03.13 09:05,80074,80109,79292,79418,10434,26194
2020.03.13 09:10,79458,80074,79236,79842,11170,23857
2020.03.13 09:15,79842,79923,79771,79812,5349,10913
2020.03.13 09:20,79817,79923,79771,79837,4255,7317
2020.03.13 09:25,79847,80109,79837,80109,6284,15199
2020.03.13 09:30,80109,80109,80109,80109,143,461
2020.03.13 09:35,80109,80109,80109,80109,74,390
2020.03.13 09:40,80109,80109,80109,80109,58,191
2020.03.13 09:45,80109,80109,80109,80109,53,336
2020.03.13 09:50,80109,80109,80109,80109,64,523
2020.03.13 09:55,80109,80109,80109,80109,54,493
2020.03.13 10:00,80109,80109,80109,80109,192,1758
2020.03.13 10:05,80109,80109,80109,80109,194,1503
2020.03.13 10:10,80109,80109,80109,80109,182,1140
2020.03.13 10:15,80109,80109,80109,80109,128,791
2020.03.13 10:20,80109,80109,80109,80109,28,279
2020.03.13 10:25,80109,80109,80109,80109,25,110
2020.03.13 10:30,80109,80109,80109,80109,31,243
2020.03.13 10:35,80109,80109,80109,80109,255,2972
